"status","source","backup","size_bytes","sha256"
"copied","data/eval/results/baseline_lexical_core.csv","archive_pre_final\before_138docs_core_rerun_20260531_133316\data\eval\results\baseline_lexical_core.csv","103963","A1D97AD70D9360DCE548B5618FDAA7A46EBC112C9E971895958A6257858BF918"
"copied","data/eval/results/baseline_vector_core.csv","archive_pre_final\before_138docs_core_rerun_20260531_133316\data\eval\results\baseline_vector_core.csv","113075","6919E3D02AEFB104F3B32F5546BC8CCCED358DA77640E24E448BD7178BB6113B"
"copied","data/eval/results/baseline_vector_metadata_core.csv","archive_pre_final\before_138docs_core_rerun_20260531_133316\data\eval\results\baseline_vector_metadata_core.csv","115214","8F56A56B1AD5ED03A04C502727E10F2939554C8CFD6FC3ECA3B8230FA21FDD91"
"copied","data/eval/results/baseline_vector_metadata_kg_no_intent_core.csv","archive_pre_final\before_138docs_core_rerun_20260531_133316\data\eval\results\baseline_vector_metadata_kg_no_intent_core.csv","135000","1370E2B870E1C044AF0A377A6930C3FB6787A92350DC5F80C92DBEE401A2926E"
"copied","data/eval/results/baseline_ontology_sparql_core.csv","archive_pre_final\before_138docs_core_rerun_20260531_133316\data\eval\results\baseline_ontology_sparql_core.csv","105698","690DCF1BEE07273EFE2EE060FC1FEE2A10A0E036E2E8F8D51F262A38DC1E039D"
"copied","data/eval/results/baseline_hybrid_core.csv","archive_pre_final\before_138docs_core_rerun_20260531_133316\data\eval\results\baseline_hybrid_core.csv","102387","5AFD507879A529BAAC7D3F8EC935C5EDBB85523DAAB91CD396A12CD6DF77DCAB"
"copied","data/eval/results/baseline_hybrid_candidate_fusion_core.csv","archive_pre_final\before_138docs_core_rerun_20260531_133316\data\eval\results\baseline_hybrid_candidate_fusion_core.csv","259666","DF45E8CA3D6DE5FCB2AA7212516700504D8F41A855B1AA8EFF6C9F19A3356646"
"copied","data/eval/results/baseline_hybrid_query_expansion_core.csv","archive_pre_final\before_138docs_core_rerun_20260531_133316\data\eval\results\baseline_hybrid_query_expansion_core.csv","170511","037BB4C238C287D518A7B673C14F19949EDA01B7AD9187030C20E1F25877560D"
"copied","data/eval/metrics/baseline_metrics_summary.csv","archive_pre_final\before_138docs_core_rerun_20260531_133316\data\eval\metrics\baseline_metrics_summary.csv","1267","96AAF94C5CC9566018350CD9FC2F311C08B2F9B5054C7BC55ECDACA76DB2C6F1"
"copied","data/eval/metrics/baseline_metrics_by_group.csv","archive_pre_final\before_138docs_core_rerun_20260531_133316\data\eval\metrics\baseline_metrics_by_group.csv","2744","4330F6D3FB444FDDAB1C3C210669726C6CA243BF7C020E6272A0610FE7D498D8"
"copied","data/eval/metrics/baseline_metrics_per_query.csv","archive_pre_final\before_138docs_core_rerun_20260531_133316\data\eval\metrics\baseline_metrics_per_query.csv","31548","8AA8D16B0704352152DD34FFCACD56DC0E5AE5FA0985801CD975139CD1DDC2CF"
"copied","data/eval/metrics/baseline_metrics_summary_plus.csv","archive_pre_final\before_138docs_core_rerun_20260531_133316\data\eval\metrics\baseline_metrics_summary_plus.csv","1217","D332778AA49E799D7A6B6FC7BB551EB969ADEB39BB90C749D7630E32C83B9726"
"copied","data/eval/metrics/baseline_metrics_by_query_plus.csv","archive_pre_final\before_138docs_core_rerun_20260531_133316\data\eval\metrics\baseline_metrics_by_query_plus.csv","31956","41F056C9E6A821C400E85448E17F1CE11A631781EE654570ECC243EBF8782743"
"copied","data/eval/metrics/baseline_metrics_by_group_plus.csv","archive_pre_final\before_138docs_core_rerun_20260531_133316\data\eval\metrics\baseline_metrics_by_group_plus.csv","5336","48E1EBECEA89236C797EA46FCB00878187705EE40A434DEC6C66E413BF0354FF"
"copied","data/eval/metrics/baseline_latency_summary.csv","archive_pre_final\before_138docs_core_rerun_20260531_133316\data\eval\metrics\baseline_latency_summary.csv","2575","800B7A1DC80F1FB242F37E87DA548B6326DA663C20DC8E1B48E95D19FE74AC90"
"copied","data/eval/metrics/baseline_latency_per_query.csv","archive_pre_final\before_138docs_core_rerun_20260531_133316\data\eval\metrics\baseline_latency_per_query.csv","4892","997C693D02F087C99D0C10683ECFF82D614CFCD09A5BBBD8CD46E7CE0B724DBA"
"copied","outputs/figures/fig_baseline_key_metrics.png","archive_pre_final\before_138docs_core_rerun_20260531_133316\outputs\figures\fig_baseline_key_metrics.png","190013","80C7CB3776E5CAA800E4968794F9BC3F519905C31211AEDC37EE8EBAD3AE5434"
"copied","outputs/figures/fig_baseline_key_metrics.pdf","archive_pre_final\before_138docs_core_rerun_20260531_133316\outputs\figures\fig_baseline_key_metrics.pdf","24211","09084D9D7E6640C09E2E246128AEB973E8606BAA426E7D8E0014131A1AECB6DF"
"copied","outputs/figures/fig_hybrid_vs_vector_metadata_by_group.png","archive_pre_final\before_138docs_core_rerun_20260531_133316\outputs\figures\fig_hybrid_vs_vector_metadata_by_group.png","165347","E2B37FCD988D5AE84CC30802CDDAE750360B9DD4E0632109AA2DC5D3FADBB349"
"copied","outputs/figures/fig_hybrid_vs_vector_metadata_by_group.pdf","archive_pre_final\before_138docs_core_rerun_20260531_133316\outputs\figures\fig_hybrid_vs_vector_metadata_by_group.pdf","25209","551745FE3AB838BFEF0A305097744B1F124719897960CB7239B94C39B8806566"
"copied","outputs/figures/fig_quality_latency_tradeoff.png","archive_pre_final\before_138docs_core_rerun_20260531_133316\outputs\figures\fig_quality_latency_tradeoff.png","149441","C67F012631D15D3EE3C9BE630C2AA294F98B36B4AD18B93AEA4FEA31820553D1"
"copied","outputs/figures/fig_quality_latency_tradeoff.pdf","archive_pre_final\before_138docs_core_rerun_20260531_133316\outputs\figures\fig_quality_latency_tradeoff.pdf","24883","46B83DB506542EB8EFF2ED1C98D185B2C75E8759E886D61068A1FC0CFD7291E9"
"copied","outputs/figures/fig_ablation_key_metrics.png","archive_pre_final\before_138docs_core_rerun_20260531_133316\outputs\figures\fig_ablation_key_metrics.png","216020","A42C7C4D1B3DC516A30573431E1532A6E30B48DE004A89450A5C7BD88D6F4EEA"
"copied","outputs/figures/fig_ablation_key_metrics.pdf","archive_pre_final\before_138docs_core_rerun_20260531_133316\outputs\figures\fig_ablation_key_metrics.pdf","25629","C3899048C4B0003E6899126C96468ECB48828FA0DC5D34369B3015FEAA4C5F60"
"copied","outputs/wilcoxon_hybrid_vs_vector_metadata.md","archive_pre_final\before_138docs_core_rerun_20260531_133316\outputs\wilcoxon_hybrid_vs_vector_metadata.md","2285","A9960A35682D69FA63AA609AAA6EF1459A3BAF22F508BC5A216228A059EA0AC5"
"copied","outputs/wilcoxon_hybrid_vs_vector_metadata.csv","archive_pre_final\before_138docs_core_rerun_20260531_133316\outputs\wilcoxon_hybrid_vs_vector_metadata.csv","1146","FAFAF9EFFB8E37F725AA27F50D1905FE87BD0A6FE514221C0D76E15BC6F73E79"
"copied","outputs/wilcoxon_hybrid_vs_vector_metadata.json","archive_pre_final\before_138docs_core_rerun_20260531_133316\outputs\wilcoxon_hybrid_vs_vector_metadata.json","3481","F388A02B76A79F5976B1CB01F7DCDC22ADD1B6630C634026C4BCF4160BB69483"
"copied","outputs/hybrid_vs_vector_metadata_by_group.md","archive_pre_final\before_138docs_core_rerun_20260531_133316\outputs\hybrid_vs_vector_metadata_by_group.md","1725","5EBF5D9428D17BF9AF476632A362DD9F27490A6E855E543A7322DA7527674EF8"
"copied","outputs/hybrid_vs_vector_metadata_by_group.csv","archive_pre_final\before_138docs_core_rerun_20260531_133316\outputs\hybrid_vs_vector_metadata_by_group.csv","1059","016E2678264B948CC6CC976A94CA6AD63D25FDD08C382524A083EA23E11B8E6A"
"copied","outputs/final_score_formula_and_runtime_flow.md","archive_pre_final\before_138docs_core_rerun_20260531_133316\outputs\final_score_formula_and_runtime_flow.md","4268","80F945B3A47536797D724ED20AF14315479A70A19D338302E995B76A5C6577AA"
"copied","outputs/baseline_metrics_plus_report.md","archive_pre_final\before_138docs_core_rerun_20260531_133316\outputs\baseline_metrics_plus_report.md","1875","7C15AD214F524E558079915997517ED55B0C104E8D49E8C1F7278858C5E152BF"
"missing_optional","outputs/core_rerun_138docs_report.md","","",""
"missing_optional","outputs/core_rerun_138docs_summary.csv","","",""
"missing_optional","outputs/core_baseline_results_138docs_audit.csv","","",""
"missing_optional","outputs/core_metrics_138docs_summary.csv","","",""
"missing_optional","outputs/core_latency_138docs_summary.csv","","",""
"missing_optional","outputs/core_figures_138docs_check.csv","","",""
