"source","backup","exists","size_bytes","sha256"
"data/eval/results/baseline_hybrid_candidate_fusion_core.csv","archive_pre_final\before_supplementary_experiments_138docs_rerun_20260531_155720\data_eval_results_baseline_hybrid_candidate_fusion_core.csv","True","259666","DF45E8CA3D6DE5FCB2AA7212516700504D8F41A855B1AA8EFF6C9F19A3356646"
"data/eval/metrics/hybrid_candidate_fusion_metrics_summary.csv","archive_pre_final\before_supplementary_experiments_138docs_rerun_20260531_155720\data_eval_metrics_hybrid_candidate_fusion_metrics_summary.csv","True","650","E97553438624A4B09E93D03C65078388FEDD93F212B6BEE36CD7CC8DF198A483"
"data/eval/metrics/hybrid_candidate_fusion_metrics_by_query.csv","archive_pre_final\before_supplementary_experiments_138docs_rerun_20260531_155720\data_eval_metrics_hybrid_candidate_fusion_metrics_by_query.csv","True","16639","929515676752815C2BC8187EB609DCD068BC20C6B730C31E60BAF61163CCB3EF"
"data/eval/metrics/hybrid_candidate_fusion_metrics_by_group.csv","archive_pre_final\before_supplementary_experiments_138docs_rerun_20260531_155720\data_eval_metrics_hybrid_candidate_fusion_metrics_by_group.csv","True","2841","F9B3AB5EE5AC8AA657EC0AD56DFBF31C3AD4B0671C8AE0E288A02FB124D17B64"
"outputs/hybrid_candidate_fusion_analysis.md","archive_pre_final\before_supplementary_experiments_138docs_rerun_20260531_155720\outputs_hybrid_candidate_fusion_analysis.md","True","4255","4902A2BD3E7DB0F2D59030BA228BC8EDB78E6B5CA688A98621F3EEB8A83EAF12"
"outputs/figures/fig_candidate_fusion_summary.png","archive_pre_final\before_supplementary_experiments_138docs_rerun_20260531_155720\outputs_figures_fig_candidate_fusion_summary.png","True","159510","B7363C60B0E2117C5D4E698387DA9CF01EC7A4DDA5C06063C4A159987BF30C44"
"data/eval/results/baseline_lexical_extended.csv","archive_pre_final\before_supplementary_experiments_138docs_rerun_20260531_155720\data_eval_results_baseline_lexical_extended.csv","True","351784","38263ACBBFC7A80719E70624B1D4409D1D2AEF9E1F6494DA10F3E113C2889051"
"data/eval/results/baseline_vector_extended.csv","archive_pre_final\before_supplementary_experiments_138docs_rerun_20260531_155720\data_eval_results_baseline_vector_extended.csv","True","385730","75A4E893ED63110FA63E5CF590C14CC045841BA80C76F53BEDE7791A00445537"
"data/eval/results/baseline_vector_metadata_extended.csv","archive_pre_final\before_supplementary_experiments_138docs_rerun_20260531_155720\data_eval_results_baseline_vector_metadata_extended.csv","True","389358","768433CA23C171E6BABC0240EBC8B7C3984ECA489CF5C474C06CC670159661BD"
"data/eval/results/baseline_ontology_sparql_extended.csv","archive_pre_final\before_supplementary_experiments_138docs_rerun_20260531_155720\data_eval_results_baseline_ontology_sparql_extended.csv","True","359839","2FD8BD3642BBA12AAF7905AD317D57954BE08F8B64FDBF389BAF8E9B9270EADE"
"data/eval/results/baseline_hybrid_extended.csv","archive_pre_final\before_supplementary_experiments_138docs_rerun_20260531_155720\data_eval_results_baseline_hybrid_extended.csv","True","344465","6C9C0953F83B8ADFD294F26168F643FB2311633379C3CA7FA005E38A9190C3EF"
"data/eval/results/baseline_hybrid_candidate_fusion_extended.csv","archive_pre_final\before_supplementary_experiments_138docs_rerun_20260531_155720\data_eval_results_baseline_hybrid_candidate_fusion_extended.csv","True","894380","A13BFCDD11B595DEDB049366925DBC3490662DEC9CACB2AF692A01DA7D1CE14A"
"data/eval/metrics/baseline_metrics_summary_extended.csv","archive_pre_final\before_supplementary_experiments_138docs_rerun_20260531_155720\data_eval_metrics_baseline_metrics_summary_extended.csv","True","1189","E028F15919DA268BFB07C0374B810AB9432005563C9C6E29DEEBF7EFEDD338C3"
"data/eval/metrics/baseline_metrics_by_query_extended.csv","archive_pre_final\before_supplementary_experiments_138docs_rerun_20260531_155720\data_eval_metrics_baseline_metrics_by_query_extended.csv","True","114008","E27E0AC41F8238BABAC64383679F8D2DEF6F8C790EC4BCD18413CC08036C41E6"
"data/eval/metrics/baseline_metrics_by_group_extended.csv","archive_pre_final\before_supplementary_experiments_138docs_rerun_20260531_155720\data_eval_metrics_baseline_metrics_by_group_extended.csv","True","6128","BC88AD2A41A90A94BFE745DF9A5AA82224D95A571D8801D87D920DB33308179A"
"outputs/extended_query_evaluation_report.md","archive_pre_final\before_supplementary_experiments_138docs_rerun_20260531_155720\outputs_extended_query_evaluation_report.md","True","5464","50EE5759DF0D024D14DF5FD31E21BAAED7B48BFD4D6D3C22C25CB591B7732427"
"outputs/extended_query_judgment_audit.md","archive_pre_final\before_supplementary_experiments_138docs_rerun_20260531_155720\outputs_extended_query_judgment_audit.md","True","1392","FFA41FC10E7E5461678E039DBE8AE555EB3CBAAD0701DD2E60E6A1D49847E8C9"
"outputs/figures/fig_extended_evaluation_summary.png","archive_pre_final\before_supplementary_experiments_138docs_rerun_20260531_155720\outputs_figures_fig_extended_evaluation_summary.png","True","183330","D25AAFC1562496AD2CAA42A04541C5DF5B489329AFF3C92965FF3BDE6088D532"
