doc_id,doc_uri,predicate,raw_metadata_value,mapped_entity_uri,confidence,status,reason
FAO_004,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_004,aboutTaxon,aquatic animals; fish; shrimp,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,high,added,exact ontology alias match
FAO_004,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_004,aboutTaxon,aquatic animals; fish; shrimp,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,high,added,exact ontology alias match
FAO_004,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_004,aboutTaxon,aquatic animals; fish; shrimp,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp,high,added,exact ontology alias match
FAO_007,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_007,aboutTaxon,fish; aquatic species,,low,skipped_unmapped_token,unmapped_or_denied token: aquatic species
FAO_007,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_007,aboutTaxon,fish; aquatic species,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,high,added,exact ontology alias match
FAO_007,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_007,aboutLocation,Central Asia; Caucasus; Kazakhstan,,low,skipped_unmapped_token,unmapped_or_denied token: Central Asia
FAO_007,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_007,aboutLocation,Central Asia; Caucasus; Kazakhstan,,low,skipped_unmapped_token,unmapped_or_denied token: Caucasus
FAO_007,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_007,aboutLocation,Central Asia; Caucasus; Kazakhstan,,low,skipped_unmapped_token,unmapped_or_denied token: Kazakhstan
FAO_008,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_008,aboutTaxon,shrimp; crustaceans,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp,high,added,exact ontology alias match
FAO_008,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_008,aboutTaxon,shrimp; crustaceans,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Crustacean,high,added,exact ontology alias match
FAO_008,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_008,aboutLocation,Thailand; Bangkok,,low,skipped_unmapped_token,unmapped_or_denied token: Thailand
FAO_008,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_008,aboutLocation,Thailand; Bangkok,,low,skipped_unmapped_token,unmapped_or_denied token: Bangkok
FAO_009,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_009,aboutTaxon,aquatic animals; fish; crustaceans,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,high,added,exact ontology alias match
FAO_009,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_009,aboutTaxon,aquatic animals; fish; crustaceans,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Fish,high,added,exact ontology alias match
FAO_009,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_009,aboutTaxon,aquatic animals; fish; crustaceans,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Crustacean,high,added,exact ontology alias match
FAO_009,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_009,aboutLocation,Asia,,low,skipped_unmapped_token,unmapped_or_denied token: Asia
FAO_010,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_010,aboutDisease,IMN,,low,skipped_unmapped_token,unmapped_or_denied token: IMN
FAO_011,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_011,aboutTaxon,shrimp,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp,high,added,exact ontology alias match
FAO_011,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_011,aboutLocation,Bangladesh; Khulna; Satkhira,,low,skipped_unmapped_token,unmapped_or_denied token: Bangladesh
FAO_011,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_011,aboutLocation,Bangladesh; Khulna; Satkhira,,low,skipped_unmapped_token,unmapped_or_denied token: Khulna
FAO_011,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_011,aboutLocation,Bangladesh; Khulna; Satkhira,,low,skipped_unmapped_token,unmapped_or_denied token: Satkhira
FAO_012,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_012,aboutLocation,Asia; Pacific,,low,skipped_unmapped_token,unmapped_or_denied token: Asia
