doc_uri,doc_id,title,metadata_row_found,aboutTaxon_count,has_aboutTaxon,aboutDisease_count,has_aboutDisease,aboutLocation_count,has_aboutLocation,documentProductionMode_count,has_documentProductionMode,total_structured_fact_count,metadata_aboutTaxon_present,metadata_aboutDisease_present,metadata_aboutLocation_present,metadata_documentProductionMode_present,missing_fact_types,confidence_to_backfill
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_001,FAO_001,Shrimp acute hepatopancreatic necrosis disease strategy manual,True,2,True,1,True,1,True,1,True,4,True,True,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_002,FAO_002,Improving Penaeus monodon hatchery practices. Manual based on experience in India.,True,1,True,0,False,1,True,1,True,3,True,True,True,True,aboutDisease,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_003,FAO_003,Special Publication on Acute Hepatopancreatic Necrosis Disease (AHPND),True,2,True,1,True,2,True,1,True,4,True,True,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_004,FAO_004,The Progressive Management Pathway for Aquaculture Biosecurity: Guidelines for application,True,0,False,0,False,1,True,1,True,2,True,True,True,True,aboutTaxon;aboutDisease,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_005,FAO_005,Health management and biosecurity maintenance in white shrimp (Penaeus vannamei) hatcheries in Latin America,True,1,True,0,False,1,True,1,True,3,True,True,True,True,aboutDisease,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_006,FAO_006,"FAO Second International Technical Seminar/Workshop on Acute hepatopancreatic necrosis disease (AHPND), Bangkok, Thailand 23–25 June 2016",True,2,True,2,True,1,True,1,True,4,True,True,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_007,FAO_007,"Report of the Ninth Session of the Central Asian and Caucasus Regional Fisheries and Aquaculture Commission, Almaty, Kazakhstan, 25–26 November 2025",True,0,False,0,False,0,False,1,True,1,True,False,True,True,aboutTaxon;aboutLocation,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_008,FAO_008,Low water exchange shrimp farming: improvements in Thailand,True,0,False,0,False,0,False,1,True,1,True,True,True,True,aboutTaxon;aboutDisease;aboutLocation,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_009,FAO_009,Asia diagnostic guide to aquatic animal diseases,True,0,False,0,False,0,False,1,True,1,True,True,True,True,aboutTaxon;aboutDisease;aboutLocation,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_010,FAO_010,Shrimp infectious myonecrosis strategy manual,True,1,True,0,False,1,True,1,True,3,True,True,True,True,aboutDisease,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_011,FAO_011,Brackishwater Shrimp Culture Demonstration in Bangladesh - BOBP/REP/35,True,0,False,0,False,0,False,1,True,1,True,True,True,True,aboutTaxon;aboutDisease;aboutLocation,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_012,FAO_012,Introductions and movement of Penaeus vannamei and Penaeus stylirostris in Asia and the Pacific,True,1,True,0,False,0,False,1,True,2,True,True,True,True,aboutDisease;aboutLocation,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_013,FAO_013,Surveillance and zoning for aquatic animal diseases,True,0,False,0,False,1,True,1,True,2,True,True,True,True,aboutTaxon;aboutDisease,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_014,FAO_014,GLOBEFISH Quarterly Lobster Analysis - February 2026,True,1,True,0,False,1,True,0,False,2,True,False,True,True,documentProductionMode,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_015,FAO_015,FAO species catalogue. Vol.13. Marine lobsters of the world. An annotated and illustrated catalogue of marine lobsters known to date,True,1,True,0,False,1,True,0,False,2,True,False,True,True,documentProductionMode,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_016,FAO_016,Aquaculture development. 13. Guidelines for ex situ in vitro gene banking of aquatic genetic resources,True,0,False,0,False,1,True,1,True,2,True,False,True,True,aboutTaxon,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_017,FAO_017,Survey and evaluation of water qualities. A field guide for managers of inland fisheries and fish farms,True,0,False,0,False,1,True,1,True,2,True,False,True,True,aboutTaxon,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_018,FAO_018,Water quality and fish health,True,0,False,0,False,0,False,1,True,1,True,True,True,True,aboutTaxon;aboutDisease;aboutLocation,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_019,FAO_019,Understanding and applying risk analysis in aquaculture,True,0,False,0,False,1,True,1,True,2,True,True,True,True,aboutTaxon;aboutDisease,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_020,FAO_020,Risk Analysis for Movements of Live Aquatic Animals. An introductory training course,True,0,False,0,False,1,True,1,True,2,True,True,True,True,aboutTaxon;aboutDisease,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_021,FAO_021,Guidelines for Sustainable Aquaculture: Communications handbook and toolkit,True,0,False,0,False,1,True,1,True,2,True,False,True,True,aboutTaxon,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_022,FAO_022,Aquaculture development. 4. Ecosystem approach to aquaculture,True,0,False,0,False,1,True,1,True,2,True,False,True,True,aboutTaxon,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_023,FAO_023,"Environmental impact assessment and monitoring in aquaculture. Requirements, practices, effectiveness and improvements",True,0,False,0,False,1,True,1,True,2,True,True,True,True,aboutTaxon;aboutDisease,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_024,FAO_024,Reducing environmental impacts of coastal aquaculture,True,0,False,0,False,1,True,1,True,2,True,True,True,True,aboutTaxon;aboutDisease,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_025,FAO_025,"Environmental management and environmental impact assessment in aquaculture: Training Workshop for aquaculture managers. Entebbe, Uganda",True,0,False,0,False,0,False,1,True,1,True,True,True,True,aboutTaxon;aboutDisease;aboutLocation,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_026,FAO_026,Aquaculture Environmental Impact Assessment,True,0,False,0,False,0,False,1,True,1,True,True,True,True,aboutTaxon;aboutDisease;aboutLocation,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_027,FAO_027,Aquaculture Adaptation Framework for Climate Change (Aqua-Adapt),True,0,False,0,False,1,True,1,True,2,True,True,True,True,aboutTaxon;aboutDisease,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_028,FAO_028,Climate Change Adaptation in Fisheries and Aquaculture. Compilation of initial examples,True,0,False,0,False,1,True,1,True,2,True,True,True,True,aboutTaxon;aboutDisease,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_029,FAO_029,"Impacts of climate change on fisheries and aquaculture. Synthesis of current knowledge, adaptation and mitigation options",True,0,False,0,False,1,True,1,True,2,True,True,True,True,aboutTaxon;aboutDisease,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_031,FAO_031,Translating the Guidelines for Sustainable Aquaculture into action. Policy brief,True,0,False,0,False,1,True,1,True,2,True,False,True,True,aboutTaxon,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_032,FAO_032,Future pathways for aquaculture and fisheries development in Azerbaijan,True,0,False,0,False,0,False,1,True,1,True,False,True,True,aboutTaxon;aboutLocation,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_033,FAO_033,FAO Reference Centres for Antimicrobial Resistance and Aquaculture Biosecurity. Combating AMR together: ensuring healthy and safe aquatic foods,True,0,False,0,False,1,True,1,True,2,True,True,True,True,aboutTaxon;aboutDisease,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_034,FAO_034,A survey of national emergency preparedness and response (EPR) systems. FAO Project TCP/INT/3501: Strengthening biosecurity governance and capacities for dealing with the serious shrimp infectious myonecrosis virus (IMNV) disease,True,0,False,0,False,1,True,1,True,2,True,True,True,True,aboutTaxon;aboutDisease,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_035,FAO_035,Health management in Asian aquaculture,True,0,False,0,False,0,False,1,True,1,True,True,True,True,aboutTaxon;aboutDisease;aboutLocation,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_036,FAO_036,Strengthening aquaculture health management in Bosnia and Herzegovina,True,0,False,0,False,0,False,1,True,1,True,True,True,True,aboutTaxon;aboutDisease;aboutLocation,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_037,FAO_037,Preventing and managing aquatic animal disease risks in aquaculture through a progressive management pathway,True,0,False,0,False,1,True,1,True,2,True,True,True,True,aboutTaxon;aboutDisease,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_038,FAO_038,Risk management practices of small intensive shrimp farmers in the Mekong Delta of Viet Nam,True,1,True,0,False,1,True,1,True,3,True,True,True,True,aboutDisease,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_039,FAO_039,Promotion of Small-scale Shrimp and Prawn Hatcheries in India and Bangladesh - BOBP/REP/66,True,0,False,0,False,1,True,1,True,2,True,True,True,True,aboutTaxon;aboutDisease,low
