query_id,query,query_group,rank,doc_id,title,kg_score,intent_adjustment,explanation,kg_direct_fact_score_diagnostic,kg_relation_score_diagnostic,kg_explanation_score_diagnostic,kg_penalty_diagnostic,kg_unclassified_score_diagnostic,has_kg_score,has_direct_fact_evidence,has_relation_evidence,has_explanation_evidence,kg_direct_fact_evidence,kg_relation_evidence,kg_explanation_evidence,kg_component_notes
BI_001,biosecurity trong hatchery tôm thẻ chân trắng,biosecurity-management,1,FAO_005,Health management and biosecurity maintenance in white shrimp (Penaeus vannamei) hatcheries in Latin America,0.2,0.0,KG direct match: document aboutTaxon=Tôm thẻ chân trắng ; aboutTaxon=Tôm thẻ chân trắng (+0.20) ;  ; ,0.2,0.0,0.020000000000000004,0.0,0.0,True,True,False,True,aboutTaxon,,KG direct match: document aboutTaxon=Tôm thẻ chân trắng,diagnostic approximation; final hybrid scoring unchanged; runtime_direct=0.2000; runtime_relation=0.0000; runtime_context=0.0000
BI_001,biosecurity trong hatchery tôm thẻ chân trắng,biosecurity-management,2,TCTS_001,Các bệnh thường gặp trên tôm nước lợ và biện pháp phòng chống hiệu quả,0.25,0.0,KG direct match: document aboutTaxon=Tôm thẻ chân trắng; KG context match: document recommendedPrevention=An toàn sinh học ; aboutTaxon=Tôm thẻ chân trắng (+0.20); prevention=An toàn sinh học (+0.05) ;  ; ,0.2,0.05,0.025,0.0,0.0,True,True,True,True,aboutTaxon,recommendedPrevention; prevention,KG direct match: document aboutTaxon=Tôm thẻ chân trắng; KG context match: document recommendedPrevention=An toàn sinh học,diagnostic approximation; final hybrid scoring unchanged; runtime_direct=0.2000; runtime_relation=0.0000; runtime_context=0.0500
BI_001,biosecurity trong hatchery tôm thẻ chân trắng,biosecurity-management,3,PMC_035,Advanced Pathogen Monitoring in Penaeus vannamei from Three Latin American Regions: Passive Surveillance Part 2,0.25,0.0,KG direct match: document aboutTaxon=Tôm thẻ chân trắng; KG context match: document recommendedPrevention=An toàn sinh học ; aboutTaxon=Tôm thẻ chân trắng (+0.20); prevention=An toàn sinh học (+0.05) ;  ; ,0.2,0.05,0.025,0.0,0.0,True,True,True,True,aboutTaxon,recommendedPrevention; prevention,KG direct match: document aboutTaxon=Tôm thẻ chân trắng; KG context match: document recommendedPrevention=An toàn sinh học,diagnostic approximation; final hybrid scoring unchanged; runtime_direct=0.2000; runtime_relation=0.0000; runtime_context=0.0500
BI_001,biosecurity trong hatchery tôm thẻ chân trắng,biosecurity-management,4,TB_001,Giải pháp an toàn sinh học trong nuôi tôm,0.25,0.0,KG direct match: document aboutTaxon=Tôm thẻ chân trắng; KG context match: document recommendedPrevention=An toàn sinh học ; aboutTaxon=Tôm thẻ chân trắng (+0.20); prevention=An toàn sinh học (+0.05) ;  ; ,0.2,0.05,0.025,0.0,0.0,True,True,True,True,aboutTaxon,recommendedPrevention; prevention,KG direct match: document aboutTaxon=Tôm thẻ chân trắng; KG context match: document recommendedPrevention=An toàn sinh học,diagnostic approximation; final hybrid scoring unchanged; runtime_direct=0.2000; runtime_relation=0.0000; runtime_context=0.0500
BI_001,biosecurity trong hatchery tôm thẻ chân trắng,biosecurity-management,5,FAO_001,Shrimp acute hepatopancreatic necrosis disease strategy manual,0.25,-0.1,KG direct match: document aboutTaxon=Tôm thẻ chân trắng; KG context match: document recommendedPrevention=An toàn sinh học ; aboutTaxon=Tôm thẻ chân trắng (+0.20); prevention=An toàn sinh học (+0.05) ;  ; intent: biosecurity hatchery query vs disease strategy manual (-0.10),0.2,0.05,0.025,0.1,0.0,True,True,True,True,aboutTaxon,recommendedPrevention; prevention,KG direct match: document aboutTaxon=Tôm thẻ chân trắng; KG context match: document recommendedPrevention=An toàn sinh học,diagnostic approximation; final hybrid scoring unchanged; runtime_direct=0.2000; runtime_relation=0.0000; runtime_context=0.0500; intent_guardrail_penalty_abs=0.1000
BI_001,biosecurity trong hatchery tôm thẻ chân trắng,biosecurity-management,6,TCKHTS_001,"Thực trạng môi trường và dịch bệnh tại vùng nuôi tôm trên cát ở Thạch Hà, Cẩm Xuyên và Nghi Xuân, Hà Tĩnh",0.25,0.0,KG direct match: document aboutTaxon=Tôm thẻ chân trắng; KG context match: document recommendedPrevention=An toàn sinh học ; aboutTaxon=Tôm thẻ chân trắng (+0.20); prevention=An toàn sinh học (+0.05) ;  ; ,0.2,0.05,0.025,0.0,0.0,True,True,True,True,aboutTaxon,recommendedPrevention; prevention,KG direct match: document aboutTaxon=Tôm thẻ chân trắng; KG context match: document recommendedPrevention=An toàn sinh học,diagnostic approximation; final hybrid scoring unchanged; runtime_direct=0.2000; runtime_relation=0.0000; runtime_context=0.0500
BI_001,biosecurity trong hatchery tôm thẻ chân trắng,biosecurity-management,7,DLU_002,Nghiên cứu sự nhiễm vi rút đốm trắng (WSSV) ở tôm càng (Macrobrachium nipponense) và khả năng lan truyền bệnh sang tôm thẻ chân trắng (Litopenaeus vannamei),0.25,0.0,KG direct match: document aboutTaxon=Tôm thẻ chân trắng; KG context match: document recommendedPrevention=An toàn sinh học ; aboutTaxon=Tôm thẻ chân trắng (+0.20); prevention=An toàn sinh học (+0.05) ;  ; ,0.2,0.05,0.025,0.0,0.0,True,True,True,True,aboutTaxon,recommendedPrevention; prevention,KG direct match: document aboutTaxon=Tôm thẻ chân trắng; KG context match: document recommendedPrevention=An toàn sinh học,diagnostic approximation; final hybrid scoring unchanged; runtime_direct=0.2000; runtime_relation=0.0000; runtime_context=0.0500
BI_001,biosecurity trong hatchery tôm thẻ chân trắng,biosecurity-management,8,SEAFDEC_004,Advocating preventive measures that inhibit early mortality syndrome in shrimps,0.25,0.0,KG direct match: document aboutTaxon=Tôm thẻ chân trắng; KG context match: document recommendedPrevention=An toàn sinh học ; aboutTaxon=Tôm thẻ chân trắng (+0.20); prevention=An toàn sinh học (+0.05) ;  ; ,0.2,0.05,0.025,0.0,0.0,True,True,True,True,aboutTaxon,recommendedPrevention; prevention,KG direct match: document aboutTaxon=Tôm thẻ chân trắng; KG context match: document recommendedPrevention=An toàn sinh học,diagnostic approximation; final hybrid scoring unchanged; runtime_direct=0.2000; runtime_relation=0.0000; runtime_context=0.0500
BI_001,biosecurity trong hatchery tôm thẻ chân trắng,biosecurity-management,9,NACA_002,Shrimp farm biosecurity in Saudi Arabia: A journey from past practices to future vision,0.25,0.0,KG direct match: document aboutTaxon=Tôm thẻ chân trắng; KG context match: document recommendedPrevention=An toàn sinh học ; aboutTaxon=Tôm thẻ chân trắng (+0.20); prevention=An toàn sinh học (+0.05) ;  ; ,0.2,0.05,0.025,0.0,0.0,True,True,True,True,aboutTaxon,recommendedPrevention; prevention,KG direct match: document aboutTaxon=Tôm thẻ chân trắng; KG context match: document recommendedPrevention=An toàn sinh học,diagnostic approximation; final hybrid scoring unchanged; runtime_direct=0.2000; runtime_relation=0.0000; runtime_context=0.0500
BI_001,biosecurity trong hatchery tôm thẻ chân trắng,biosecurity-management,10,TB_007,Bệnh đốm trắng ở tôm nuôi và công nghệ nuôi tôm nhằm phòng bệnh đốm trắng,0.25,0.0,KG direct match: document aboutTaxon=Tôm thẻ chân trắng; KG context match: document recommendedPrevention=An toàn sinh học ; aboutTaxon=Tôm thẻ chân trắng (+0.20); prevention=An toàn sinh học (+0.05) ;  ; ,0.2,0.05,0.025,0.0,0.0,True,True,True,True,aboutTaxon,recommendedPrevention; prevention,KG direct match: document aboutTaxon=Tôm thẻ chân trắng; KG context match: document recommendedPrevention=An toàn sinh học,diagnostic approximation; final hybrid scoring unchanged; runtime_direct=0.2000; runtime_relation=0.0000; runtime_context=0.0500
