doc_uri,doc_id,title,metadata_row_found,aboutTaxon_count,has_aboutTaxon,aboutDisease_count,has_aboutDisease,aboutLocation_count,has_aboutLocation,documentProductionMode_count,has_documentProductionMode,total_structured_fact_count,metadata_aboutTaxon_present,metadata_aboutDisease_present,metadata_aboutLocation_present,metadata_documentProductionMode_present,missing_fact_types,confidence_to_backfill
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#AAF_001,AAF_001,Characteristics and diversity of Vibrio parahaemolyticus causing acute hepatopancreatic necrosis disease in Vietnam,True,2,True,1,True,1,True,1,True,4,True,True,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#BIOLOGY_001,BIOLOGY_001,Characterization and Expression Analysis of the C-Type Lectin Ladderlectin in Litopenaeus vannamei Post-WSSV Infection,True,2,True,1,True,0,False,1,True,3,True,True,False,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#CTU_001,CTU_001,Kỹ thuật sản xuất giống và nuôi giáp xác,True,2,True,0,False,1,True,1,True,3,True,False,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#CTU_002,CTU_002,Kỹ thuật sản xuất giống và nuôi cá biển,True,0,False,0,False,1,True,1,True,2,True,False,True,True,aboutTaxon,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#CTU_JOURNAL_001,CTU_JOURNAL_001,Phân tích hiệu quả sản xuất các mô hình nuôi tôm thẻ chân trắng và tôm sú thâm canh ở tỉnh Ninh Thuận,True,2,True,0,False,1,True,2,True,3,True,False,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#CTU_JOURNAL_002,CTU_JOURNAL_002,Phân tích hiệu quả kỹ thuật và tài chính của mô hình nuôi tôm thẻ chân trắng ở tỉnh Cà Mau,True,1,True,0,False,1,True,2,True,3,True,False,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#CTU_JOURNAL_003,CTU_JOURNAL_003,Hiện trạng nhiễm ký sinh trùng trên cá bớp (Rachycentron canadum) nuôi lồng ở tỉnh Kiên Giang,True,1,True,0,False,1,True,1,True,3,True,True,True,True,aboutDisease,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#DLU_002,DLU_002,Nghiên cứu sự nhiễm vi rút đốm trắng (WSSV) ở tôm càng (Macrobrachium nipponense) và khả năng lan truyền bệnh sang tôm thẻ chân trắng (Litopenaeus vannamei),True,1,True,1,True,1,True,1,True,4,True,True,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_001,FAO_001,Shrimp acute hepatopancreatic necrosis disease strategy manual,True,3,True,1,True,1,True,1,True,4,True,True,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_002,FAO_002,Improving Penaeus monodon hatchery practices. Manual based on experience in India.,True,2,True,0,False,1,True,1,True,3,True,False,True,True,,low
