doc_id,title,in_metadata,in_kg_doc_nodes,in_runtime_doc_id_mapping,aboutTaxon_count,aboutDisease_count,aboutLocation_count,documentProductionMode_count,has_aboutTaxon,has_aboutDisease,has_aboutLocation,has_documentProductionMode,has_at_least_1_core_fact,has_all_4_core_fact_types
FAO_001,Shrimp acute hepatopancreatic necrosis disease strategy manual,True,True,True,3,1,1,1,True,True,True,True,True,True
FAO_002,Improving Penaeus monodon hatchery practices. Manual based on experience in India.,True,True,True,2,0,1,1,True,False,True,True,True,False
FAO_003,Special Publication on Acute Hepatopancreatic Necrosis Disease (AHPND),True,True,True,3,1,2,1,True,True,True,True,True,True
FAO_004,The Progressive Management Pathway for Aquaculture Biosecurity: Guidelines for application,True,True,True,3,0,1,1,True,False,True,True,True,False
FAO_005,Health management and biosecurity maintenance in white shrimp (Penaeus vannamei) hatcheries in Latin America,True,True,True,2,0,1,1,True,False,True,True,True,False
FAO_006,"FAO Second International Technical Seminar/Workshop on Acute hepatopancreatic necrosis disease (AHPND), Bangkok, Thailand 23–25 June 2016",True,True,True,3,2,1,1,True,True,True,True,True,True
FAO_007,"Report of the Ninth Session of the Central Asian and Caucasus Regional Fisheries and Aquaculture Commission, Almaty, Kazakhstan, 25–26 November 2025",True,True,True,1,0,0,2,True,False,False,True,True,False
FAO_008,Low water exchange shrimp farming: improvements in Thailand,True,True,True,2,0,0,1,True,False,False,True,True,False
FAO_009,Asia diagnostic guide to aquatic animal diseases,True,True,True,3,0,0,2,True,False,False,True,True,False
FAO_010,Shrimp infectious myonecrosis strategy manual,True,True,True,2,1,1,1,True,True,True,True,True,True
FAO_011,Brackishwater Shrimp Culture Demonstration in Bangladesh - BOBP/REP/35,True,True,True,1,0,1,1,True,False,True,True,True,False
FAO_012,Introductions and movement of Penaeus vannamei and Penaeus stylirostris in Asia and the Pacific,True,True,True,2,0,0,1,True,False,False,True,True,False
FAO_013,Surveillance and zoning for aquatic animal diseases,True,True,True,2,0,1,2,True,False,True,True,True,False
FAO_014,GLOBEFISH Quarterly Lobster Analysis - February 2026,True,True,True,1,0,1,1,True,False,True,True,True,False
FAO_015,FAO species catalogue. Vol.13. Marine lobsters of the world. An annotated and illustrated catalogue of marine lobsters known to date,True,True,True,1,0,1,1,True,False,True,True,True,False
FAO_016,Aquaculture development. 13. Guidelines for ex situ in vitro gene banking of aquatic genetic resources,True,True,True,1,0,1,1,True,False,True,True,True,False
FAO_017,Survey and evaluation of water qualities. A field guide for managers of inland fisheries and fish farms,True,True,True,2,0,1,2,True,False,True,True,True,False
FAO_018,Water quality and fish health,True,True,True,2,0,0,2,True,False,False,True,True,False
FAO_019,Understanding and applying risk analysis in aquaculture,True,True,True,2,0,1,1,True,False,True,True,True,False
FAO_020,Risk Analysis for Movements of Live Aquatic Animals. An introductory training course,True,True,True,3,0,1,1,True,False,True,True,True,False
FAO_021,Guidelines for Sustainable Aquaculture: Communications handbook and toolkit,True,True,True,3,0,1,1,True,False,True,True,True,False
FAO_022,Aquaculture development. 4. Ecosystem approach to aquaculture,True,True,True,3,0,1,1,True,False,True,True,True,False
FAO_023,"Environmental impact assessment and monitoring in aquaculture. Requirements, practices, effectiveness and improvements",True,True,True,1,0,1,1,True,False,True,True,True,False
FAO_024,Reducing environmental impacts of coastal aquaculture,True,True,True,0,0,1,1,False,False,True,True,True,False
FAO_025,"Environmental management and environmental impact assessment in aquaculture: Training Workshop for aquaculture managers. Entebbe, Uganda",True,True,True,1,0,0,1,True,False,False,True,True,False
FAO_026,Aquaculture Environmental Impact Assessment,True,True,True,1,0,0,1,True,False,False,True,True,False
FAO_027,Aquaculture Adaptation Framework for Climate Change (Aqua-Adapt),True,True,True,1,0,1,1,True,False,True,True,True,False
FAO_028,Climate Change Adaptation in Fisheries and Aquaculture. Compilation of initial examples,True,True,True,1,0,1,1,True,False,True,True,True,False
FAO_029,"Impacts of climate change on fisheries and aquaculture. Synthesis of current knowledge, adaptation and mitigation options",True,True,True,1,0,1,1,True,False,True,True,True,False
FAO_031,Translating the Guidelines for Sustainable Aquaculture into action. Policy brief,True,True,True,3,0,1,1,True,False,True,True,True,False
FAO_032,Future pathways for aquaculture and fisheries development in Azerbaijan,True,True,True,1,0,0,1,True,False,False,True,True,False
FAO_033,FAO Reference Centres for Antimicrobial Resistance and Aquaculture Biosecurity. Combating AMR together: ensuring healthy and safe aquatic foods,True,True,True,2,0,1,1,True,False,True,True,True,False
