row_index,doc_id,field_name,raw_value,status,mapped_uri_or_reason
0,FAO_001,docId,FAO_001,skipped_no_predicate,predicate missing in ontology
0,FAO_001,title,Shrimp acute hepatopancreatic necrosis disease strategy manual,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_001
0,FAO_001,filePath,data/raw_docs/FAO_001_cb2119en.pdf,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_001
0,FAO_001,language,English,skipped_no_predicate,predicate missing in ontology
0,FAO_001,keywords,shrimp culture; Penaeus vannamei; Penaeus monodon; bacterial disease; Vibrio parahaemolyticus; diagnosis; disease prevention; therapy; epidemiology; disease control; disease eradication; policy,skipped_no_predicate,predicate missing in ontology
0,FAO_001,aboutTaxon,shrimp,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp
0,FAO_001,aboutTaxon,Penaeus vannamei,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Tom_the_chan_trang
0,FAO_001,aboutTaxon,Penaeus monodon,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Tom_su
0,FAO_001,aboutDisease,AHPND,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#AHPND
0,FAO_001,aboutLocation,Global,mapped,http://example.org/aqua-kg#Global
0,FAO_001,documentProductionMode,shrimp aquaculture,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Aquaculture
1,FAO_002,docId,FAO_002,skipped_no_predicate,predicate missing in ontology
1,FAO_002,title,Improving Penaeus monodon hatchery practices. Manual based on experience in India.,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_002
1,FAO_002,filePath,data/raw_docs/FAO_002_a1152e.pdf,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_002
1,FAO_002,language,English,skipped_no_predicate,predicate missing in ontology
1,FAO_002,keywords,Penaeus monodon; shrimp hatchery; hatchery productivity; health management; biosecurity; aquaculture; India,skipped_no_predicate,predicate missing in ontology
1,FAO_002,aboutTaxon,Penaeus monodon,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Tom_su
1,FAO_002,aboutTaxon,shrimp,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp
1,FAO_002,aboutLocation,India,mapped,http://example.org/aqua-kg#India
1,FAO_002,documentProductionMode,hatchery aquaculture,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Aquaculture
2,FAO_003,docId,FAO_003,skipped_no_predicate,predicate missing in ontology
2,FAO_003,title,Special Publication on Acute Hepatopancreatic Necrosis Disease (AHPND),set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_003
2,FAO_003,filePath,data/raw_docs/FAO_003_ca2976en.pdf,set,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_003
2,FAO_003,language,English,skipped_no_predicate,predicate missing in ontology
2,FAO_003,keywords,AHPND; acute hepatopancreatic necrosis disease; shrimp; aquaculture; disease prevention; disease surveillance; fishery management,skipped_no_predicate,predicate missing in ontology
2,FAO_003,aboutTaxon,shrimp,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_Shrimp
2,FAO_003,aboutTaxon,Penaeus monodon,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Tom_su
2,FAO_003,aboutTaxon,Penaeus vannamei,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Tom_the_chan_trang
2,FAO_003,aboutDisease,AHPND,mapped,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#AHPND
2,FAO_003,aboutLocation,Vietnam,mapped,http://example.org/aqua-kg#Vietnam
2,FAO_003,aboutLocation,Asia,unmapped,no ontology match (and manual fallback failed)
2,FAO_003,aboutLocation,Latin America,mapped,http://example.org/aqua-kg#Latin_America
