doc_id,doc_uri,token,source_field,candidate_property,normalized_label,candidate_class,candidate_property_suggested,target_uri,decision,reason,confidence
FAO_007,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_007,Central Asia,related_location,aboutLocation,central asia,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_007,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_007,Caucasus,related_location,aboutLocation,caucasus,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_007,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_007,Kazakhstan,related_location,aboutLocation,kazakhstan,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_008,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_008,Thailand,related_location,aboutLocation,thailand,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_008,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_008,Bangkok,related_location,aboutLocation,bangkok,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_009,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_009,Asia,related_location,aboutLocation,asia,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_011,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_011,Bangladesh,related_location,aboutLocation,bangladesh,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_011,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_011,Khulna,related_location,aboutLocation,khulna,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_011,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_011,Satkhira,related_location,aboutLocation,satkhira,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_012,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_012,Asia,related_location,aboutLocation,asia,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_012,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_012,Pacific,related_location,aboutLocation,pacific,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_018,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_018,Europe,related_location,aboutLocation,europe,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_025,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_025,Uganda,related_location,aboutLocation,uganda,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_025,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_025,Africa,related_location,aboutLocation,africa,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_026,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_026,Indian Ocean,related_location,aboutLocation,indian ocean,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_026,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_026,Southern Africa,related_location,aboutLocation,southern africa,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_032,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_032,Azerbaijan,related_location,aboutLocation,azerbaijan,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_035,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_035,Asia,related_location,aboutLocation,asia,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_035,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_035,Pacific,related_location,aboutLocation,pacific,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_036,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_036,Bosnia and Herzegovina,related_location,aboutLocation,bosnia and herzegovina,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_040,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_040,Bangladesh,related_location,aboutLocation,bangladesh,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_041,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_041,aquatic species,related_taxon,aboutTaxon,aquatic species,Taxon,aboutTaxon,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#Generic_AquaticTaxon,ADD_NEW_ENTITY,generic taxon term; safe to represent as generic Taxon individual,high
FAO_042_biosecurity_philippines,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_042_biosecurity_philippines,Philippines,related_location,aboutLocation,philippines,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_043,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_043,Peru,related_location,aboutLocation,peru,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_045,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_045,Brazil,related_location,aboutLocation,brazil,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_045,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_045,China,related_location,aboutLocation,china,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_045,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_045,Ecuador,related_location,aboutLocation,ecuador,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_045,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_045,Indonesia,related_location,aboutLocation,indonesia,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_045,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_045,Mexico,related_location,aboutLocation,mexico,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
FAO_045,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_045,Thailand,related_location,aboutLocation,thailand,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
NACA_001,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#NACA_001,mud crab,related_taxon,aboutTaxon,mud crab,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
NACA_001,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#NACA_001,Scylla spp.,related_taxon,aboutTaxon,scylla spp,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
NACA_002,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#NACA_002,Saudi Arabia,related_location,aboutLocation,saudi arabia,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_001,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_001,EHP,related_disease,aboutDisease,ehp,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_001,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_001,Enterocytozoon hepatopenaei,related_disease,aboutDisease,enterocytozoon hepatopenaei,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_001,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_001,HPM,related_disease,aboutDisease,hpm,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_002,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_002,EHP,related_disease,aboutDisease,ehp,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_002,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_002,Enterocytozoon hepatopenaei,related_disease,aboutDisease,enterocytozoon hepatopenaei,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_003,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_003,EHP,related_disease,aboutDisease,ehp,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_003,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_003,Ecytonucleospora hepatopenaei,related_disease,aboutDisease,ecytonucleospora hepatopenaei,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_004,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_004,EHP,related_disease,aboutDisease,ehp,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_004,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_004,Enterocytozoon hepatopenaei,related_disease,aboutDisease,enterocytozoon hepatopenaei,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_005,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_005,EHP,related_disease,aboutDisease,ehp,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_005,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_005,Ecytonucleospora hepatopenaei,related_disease,aboutDisease,ecytonucleospora hepatopenaei,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_020,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_020,EHP,related_disease,aboutDisease,ehp,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_020,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_020,Enterocytozoon hepatopenaei,related_disease,aboutDisease,enterocytozoon hepatopenaei,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_021,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_021,EHP,related_disease,aboutDisease,ehp,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_021,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_021,Enterocytozoon hepatopenaei,related_disease,aboutDisease,enterocytozoon hepatopenaei,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_022,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_022,EHP,related_disease,aboutDisease,ehp,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_022,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_022,Enterocytozoon hepatopenaei,related_disease,aboutDisease,enterocytozoon hepatopenaei,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_027,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_027,EHP,related_disease,aboutDisease,ehp,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_027,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_027,Enterocytozoon hepatopenaei,related_disease,aboutDisease,enterocytozoon hepatopenaei,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_027,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_027,decapod hepanhamaparvovirus genotype V,related_disease,aboutDisease,decapod hepanhamaparvovirus genotype v,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_027,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_027,Thailand,related_location,aboutLocation,thailand,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
PMC_031,http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_031,Ecuador,related_location,aboutLocation,ecuador,,,,DENY_AUTO_BACKFILL,no exact mapping; not safe to auto-create or assert,low
