doc_id,title,file_path,source,docType,related_taxon,related_disease,related_location,production_mode,language,raw_file_exists,raw_file_size_bytes,inside_raw_docs
VJMST_001,"Hiện trạng nuôi trồng và khai thác thủy sản tại đầm Thủy Triều huyện Cam Lâm, tỉnh Khánh Hòa",data/raw_docs/VJMST_001_hien_trang_ntts_dam_thuy_trieu_cam_lam.pdf,Tạp chí Khoa học và Công nghệ Biển,Journal article,thủy sản; aquatic animals,,đầm Thủy Triều; Cam Lâm; Khánh Hòa; Việt Nam,aquaculture; capture fisheries; coastal lagoon aquaculture,Vietnamese,NO,,YES
KNQG_001,"Phát triển nuôi cá lồng bè trên biển bền vững, thích ứng biến đổi khí hậu",data/raw_docs/KNQG_001_phat_trien_nuoi_ca_long_be_tren_bien.pdf,Trung tâm Khuyến nông Quốc gia,Technical report,cá biển; cá bớp; marine fish,,Khánh Hòa; Việt Nam; Nam Trung Bộ,marine aquaculture; cage culture; offshore cage farming,Vietnamese,YES,3304923,YES
YERSIN_001,Đánh giá tính bền vững nghề nuôi tôm tại huyện Ninh Hòa - tỉnh Khánh Hòa,data/raw_docs/YERSIN_001_ben_vung_nghe_nuoi_tom_ninh_hoa.pdf,Tạp chí Khoa học Yersin,Journal article,tôm; shrimp,,Ninh Hòa; Khánh Hòa; Việt Nam,shrimp farming; sustainable aquaculture; aquaculture,Vietnamese,YES,534715,YES
JFST_001,"Nuôi cá chẽm (Lates calcarifer, Bloch, 1790) thương phẩm trong hệ thống “sông trong ao” tại Khánh Hòa",data/raw_docs/JFST_001_nuoi_ca_chem_song_trong_ao_khanh_hoa.pdf,Tạp chí Khoa học - Công nghệ Thủy sản,Journal article,cá chẽm; seabass; Lates calcarifer,,Khánh Hòa; Việt Nam,aquaculture; seabass farming; in pond raceway system; commercial fish culture,Vietnamese,YES,1279500,YES
CTU_001,Kỹ thuật sản xuất giống và nuôi giáp xác,data/raw_docs/CTU_001_ky_thuat_san_xuat_giong_va_nuoi_giap_xac.pdf,Nhà xuất bản Đại học Cần Thơ,Textbook,tôm biển; tôm sú; tôm càng xanh; cua biển; crustaceans,,Việt Nam,hatchery; seed production; crustacean farming; aquaculture,Vietnamese,YES,7052189,YES
TCKHTS_002,"Mô hình phòng, trị bệnh sữa, bệnh đỏ thân trên tôm hùm nuôi lồng tại các tỉnh Nam Trung Bộ",data/raw_docs/TCKHTS_002_phong_tri_benh_sua_do_than_tom_hum_nam_trung_bo.pdf,Tạp chí Khoa học - Công nghệ Thủy sản,Journal article,tôm hùm; tôm hùm bông; tôm hùm xanh; spiny lobster; Panulirus ornatus; Panulirus homarus,bệnh sữa; bệnh đỏ thân; milk hemolymph disease; red body disease,Bình Định; Phú Yên; Khánh Hòa; Nam Trung Bộ; Việt Nam,marine aquaculture; cage culture; lobster farming,Vietnamese,NO,,YES
TCTS_002,Quy trình kiểm soát Rickettsia-like bacteria (RLB) gây bệnh sữa trên tôm hùm (Panulirus spp.) nuôi lồng,data/raw_docs/TCTS_002_quy_trinh_kiem_soat_rlb_benh_sua_tom_hum.pdf,Cục Thủy sản,Technical guideline,tôm hùm; Panulirus spp.; lobster,bệnh sữa; Rickettsia-like bacteria; RLB,Nha Trang; Khánh Hòa; Việt Nam,marine aquaculture; cage culture; lobster farming,Vietnamese,YES,1049405,YES
HUIB_001,Khả năng hình thành màng sinh học và tính kháng kháng sinh của Vibrio parahaemolyticus phân lập từ tôm hùm Panulirus spp. nuôi,data/raw_docs/HUIB_001_vibrio_biofilm_khang_khang_sinh_tom_hum.pdf,Hội nghị Công nghệ Sinh học toàn quốc 2020,Conference paper,tôm hùm; Panulirus spp.; Panulirus homarus; Panulirus ornatus; lobster,Vibrio parahaemolyticus; vibriosis,Bình Ba; Khánh Hòa; Việt Nam,marine aquaculture; cage culture; lobster farming,Vietnamese,YES,589145,YES
KKTY_001,Tỷ lệ nhiễm và mức độ mẫn cảm kháng sinh của vi khuẩn Vibrio parahaemolyticus phân lập từ tôm hùm bông (Panulirus ornatus) nuôi lồng ở vùng biển tỉnh Phú Yên,data/raw_docs/KKTY_001_vibrio_khang_sinh_tom_hum_bong_phu_yen.pdf,Tạp chí Khoa học kỹ thuật Thú y,Journal article,tôm hùm bông; Panulirus ornatus; lobster,Vibrio parahaemolyticus; vibriosis,Cù Mông; Xuân Đài; An Chấn; Phú Yên; Việt Nam,marine aquaculture; cage culture; lobster farming,Vietnamese,YES,706171,YES
TCKHTS_003,Tình hình cung cấp con giống tôm hùm bông (Panulirus ornatus) ở Việt Nam: hiện trạng và trở ngại,data/raw_docs/TCKHTS_003_cung_cap_con_giong_tom_hum_bong_viet_nam.pdf,Tạp chí Khoa học - Công nghệ Thủy sản,Journal article,tôm hùm bông; Panulirus ornatus; puerulus; lobster seed,,Việt Nam; Khánh Hòa; Nha Trang; Ninh Hòa; Cam Ranh; Phú Yên; Bình Định,marine aquaculture; lobster farming; seed supply; nursery,Vietnamese,NO,,YES
KNQG_002,Kỹ thuật nuôi tôm hùm lồng và các biện pháp phòng trị bệnh,data/raw_docs/KNQG_002_ky_thuat_nuoi_tom_hum_long_phong_tri_benh.pdf,Trung tâm Khuyến ngư Quốc gia,Technical manual,tôm hùm; lobster; Panulirus spp.,bệnh tôm hùm; bệnh sữa; bệnh đỏ thân,Việt Nam; Nam Trung Bộ; Khánh Hòa,marine aquaculture; cage culture; lobster farming,Vietnamese,YES,7300759,YES
CTU_JOURNAL_001,Phân tích hiệu quả sản xuất các mô hình nuôi tôm thẻ chân trắng và tôm sú thâm canh ở tỉnh Ninh Thuận,data/raw_docs/CTU_JOURNAL_001_hieu_qua_mo_hinh_nuoi_tom_ninh_thuan.pdf,Tạp chí Khoa học Trường Đại học Cần Thơ,Journal article,tôm thẻ chân trắng; white-leg shrimp; tôm sú; black tiger shrimp,,Ninh Thuận; Việt Nam,shrimp farming; intensive aquaculture; intensive shrimp farming,Vietnamese,YES,303359,YES
CTU_JOURNAL_002,Phân tích hiệu quả kỹ thuật và tài chính của mô hình nuôi tôm thẻ chân trắng ở tỉnh Cà Mau,data/raw_docs/CTU_JOURNAL_002_hieu_qua_ky_thuat_tai_chinh_tom_the_ca_mau.pdf,Tạp chí Khoa học Trường Đại học Cần Thơ,Journal article,tôm thẻ chân trắng; Penaeus vannamei; white-leg shrimp,,Cà Mau; Việt Nam,shrimp farming; intensive shrimp farming; aquaculture production,Vietnamese,YES,445544,YES
TCKHTS_004,"Thực trạng, tiềm năng và giải pháp phát triển nuôi tôm trên cát ở khu vực miền Trung",data/raw_docs/TCKHTS_004_nuoi_tom_tren_cat_mien_trung.pdf,Tạp chí Khoa học - Công nghệ Thủy sản,Journal article,tôm; shrimp,dịch bệnh tôm; shrimp disease risk,miền Trung; Việt Nam; vùng ven biển miền Trung,shrimp farming; coastal aquaculture; sand-based shrimp farming,Vietnamese,YES,751278,YES
