"source_path","proposed_archive_path","action_status","result","message"
"__pycache__/analyze_ontology_alias_gaps.cpython-313.pyc","archive_pre_final/temp_cache/__pycache__/analyze_ontology_alias_gaps.cpython-313.pyc","ready_to_move","moved","Moved successfully."
"__pycache__/audit_document_fact_coverage.cpython-313.pyc","archive_pre_final/temp_cache/__pycache__/audit_document_fact_coverage.cpython-313.pyc","ready_to_move","moved","Moved successfully."
"__pycache__/backfill_document_facts_from_metadata.cpython-313.pyc","archive_pre_final/temp_cache/__pycache__/backfill_document_facts_from_metadata.cpython-313.pyc","ready_to_move","moved","Moved successfully."
"__pycache__/enrich_ontology_aliases.cpython-313.pyc","archive_pre_final/temp_cache/__pycache__/enrich_ontology_aliases.cpython-313.pyc","ready_to_move","moved","Moved successfully."
"__pycache__/hybrid_search.cpython-313.pyc","archive_pre_final/temp_cache/__pycache__/hybrid_search.cpython-313.pyc","ready_to_move","moved","Moved successfully."
"__pycache__/kg_runtime.cpython-313.pyc","archive_pre_final/temp_cache/__pycache__/kg_runtime.cpython-313.pyc","ready_to_move","moved","Moved successfully."
"__pycache__/run_core_baselines.cpython-313.pyc","archive_pre_final/temp_cache/__pycache__/run_core_baselines.cpython-313.pyc","ready_to_move","moved","Moved successfully."
"__pycache__/semantic_normalization.cpython-313.pyc","archive_pre_final/temp_cache/__pycache__/semantic_normalization.cpython-313.pyc","ready_to_move","moved","Moved successfully."
"__pycache__/sync_metadata_to_owl.cpython-313.pyc","archive_pre_final/temp_cache/__pycache__/sync_metadata_to_owl.cpython-313.pyc","ready_to_move","moved","Moved successfully."
"__pycache__/vector_search.cpython-313.pyc","archive_pre_final/temp_cache/__pycache__/vector_search.cpython-313.pyc","ready_to_move","moved","Moved successfully."
"__pycache__/verify_kg_runtime.cpython-313.pyc","archive_pre_final/temp_cache/__pycache__/verify_kg_runtime.cpython-313.pyc","ready_to_move","moved","Moved successfully."
"build_imn_lobster_comparison.py","archive_pre_final/old_debug_scripts/build_imn_lobster_comparison.py","ready_to_move","moved","Moved successfully."
"build_weak_query_comparison.py","archive_pre_final/old_debug_scripts/build_weak_query_comparison.py","ready_to_move","moved","Moved successfully."
"capture_focus_two_queries.py","archive_pre_final/old_debug_scripts/capture_focus_two_queries.py","ready_to_move","moved","Moved successfully."
"capture_focus_two_queries_round2.py","archive_pre_final/old_debug_scripts/capture_focus_two_queries_round2.py","ready_to_move","moved","Moved successfully."
"capture_weak_queries.py","archive_pre_final/old_debug_scripts/capture_weak_queries.py","ready_to_move","moved","Moved successfully."
"data/metadata/archive/document_metadata.xlsx.bak_20260330_212917","archive_pre_final/already_archived/data/metadata/archive/document_metadata.xlsx.bak_20260330_212917","ready_to_move","moved","Moved successfully."
"data/metadata/archive/document_metadata_cleaned_before_round2A.xlsx","archive_pre_final/already_archived/data/metadata/archive/document_metadata_cleaned_before_round2A.xlsx","ready_to_move","moved","Moved successfully."
"data/metadata/archive/document_metadata_cleaned_before_round4.xlsx","archive_pre_final/already_archived/data/metadata/archive/document_metadata_cleaned_before_round4.xlsx","ready_to_move","moved","Moved successfully."
"data/ontology/archive/manual_cleanup_202606/mapping_report_round8_facts_v2.csv","archive_pre_final/already_archived/data/ontology/archive/manual_cleanup_202606/mapping_report_round8_facts_v2.csv","ready_to_move","moved","Moved successfully."
"data/ontology/archive/manual_cleanup_202606/mapping_report_round8_taxonowl.csv","archive_pre_final/already_archived/data/ontology/archive/manual_cleanup_202606/mapping_report_round8_taxonowl.csv","ready_to_move","moved","Moved successfully."
"data/ontology/archive/manual_cleanup_202606/taxon.owl.bak_20260418_231237","archive_pre_final/already_archived/data/ontology/archive/manual_cleanup_202606/taxon.owl.bak_20260418_231237","ready_to_move","moved","Moved successfully."
