metric,value,detail
metadata_rows,138,
raw_files,138,
unique_doc_id,138,
duplicate_doc_id,0,
missing_file_path,0,
matched_metadata_rows,138,
missing_raw_files,0,
unreferenced_raw_files,0,
duplicate_file_path,0,
zero_byte_files,0,
suspicious_extension,0,
outside_raw_docs_paths,0,
required_columns_missing,0,
RIA3_002_in_metadata,False,
RIA3_003_in_metadata,False,
result,PASS,
required_columns,doc_id; title; author; publishedYear; source; referenceUrl; docType; file_path; related_taxon; related_disease; related_location; production_mode; keywords; language; note,
missing_raw_doc_ids,,
unreferenced_raw_files,,
