metric,value,detail
status,PASS,supplementary candidate fusion and extended evaluation rerun for 138-doc snapshot
metadata_rows,138,
raw_files,138,
candidate_fusion_rerun,PASS,data\eval\results\baseline_hybrid_candidate_fusion_core.csv
candidate_fusion_rows,280,
candidate_fusion_queries,28,
candidate_fusion_removed_docs_present,False,
extended_evaluation_rerun,PASS,6 result files
extended_queries,96,expected 96 for every method
extended_removed_docs_present,False,
figures_updated,PASS,fig_candidate_fusion_summary.png; fig_extended_evaluation_summary.png
query_expansion_status,FUTURE_WORK_ONLY,not rerun in this step
backup_manifest,outputs/supplementary_experiments_138docs_rerun_backup_manifest.csv,
candidate_vector_metadata_p_at_1,0.6428571428571429,
candidate_vector_metadata_p_at_5,0.3714285714285714,
candidate_vector_metadata_recall_at_10,0.5787414965986395,
candidate_vector_metadata_mrr,0.7452380952380953,
candidate_vector_metadata_ndcg_at_10,0.6013594879961613,
candidate_vector_metadata_map,0.3983791234747867,
candidate_hybrid_p_at_1,0.8214285714285714,
candidate_hybrid_p_at_5,0.3928571428571428,
candidate_hybrid_recall_at_10,0.6245748299319728,
candidate_hybrid_mrr,0.875,
candidate_hybrid_ndcg_at_10,0.7109812351773269,
candidate_hybrid_map,0.4565839947089947,
candidate_hybrid_candidate_fusion_p_at_1,0.7142857142857143,
candidate_hybrid_candidate_fusion_p_at_5,0.3642857142857143,
candidate_hybrid_candidate_fusion_recall_at_10,0.6207482993197279,
candidate_hybrid_candidate_fusion_mrr,0.8125,
candidate_hybrid_candidate_fusion_ndcg_at_10,0.6690985082681408,
candidate_hybrid_candidate_fusion_map,0.4349440192743764,
extended_lexical_p_at_1,0.7916666666666666,
extended_lexical_p_at_5,0.6354166666666666,
extended_lexical_recall_at_10,0.3297218573542155,
extended_lexical_mrr,0.8081597222222222,
extended_lexical_ndcg_at_10,0.5946439294743795,
extended_lexical_map,0.3016265835366408,
extended_vector_p_at_1,0.84375,
extended_vector_p_at_5,0.675,
extended_vector_recall_at_10,0.4121812371559171,
extended_vector_mrr,0.8885830026455026,
extended_vector_ndcg_at_10,0.6409559640791695,
extended_vector_map,0.3521225696922516,
extended_vector_metadata_p_at_1,0.8854166666666666,
extended_vector_metadata_p_at_5,0.7583333333333333,
extended_vector_metadata_recall_at_10,0.4796097930611803,
extended_vector_metadata_mrr,0.9178819444444444,
extended_vector_metadata_ndcg_at_10,0.722552430770493,
extended_vector_metadata_map,0.4080090510786687,
extended_ontology_sparql_p_at_1,0.7708333333333334,
extended_ontology_sparql_p_at_5,0.6958333333333333,
extended_ontology_sparql_recall_at_10,0.4311456135667758,
extended_ontology_sparql_mrr,0.8247395833333333,
extended_ontology_sparql_ndcg_at_10,0.5804936685194748,
extended_ontology_sparql_map,0.3672404217491299,
extended_hybrid_p_at_1,0.9375,
extended_hybrid_p_at_5,0.7625,
extended_hybrid_recall_at_10,0.4971571372729267,
extended_hybrid_mrr,0.9546130952380952,
extended_hybrid_ndcg_at_10,0.7570234955896777,
extended_hybrid_map,0.4291851548588043,
extended_hybrid_candidate_fusion_p_at_1,0.90625,
extended_hybrid_candidate_fusion_p_at_5,0.7541666666666667,
extended_hybrid_candidate_fusion_recall_at_10,0.4957402401268629,
extended_hybrid_candidate_fusion_mrr,0.9366319444444444,
extended_hybrid_candidate_fusion_ndcg_at_10,0.7547326501883242,
extended_hybrid_candidate_fusion_map,0.4260985991204337,
